"indicatorId","source","date","wardId","value"
96,"Census","2011-03","20731",286
96,"Census","2011-03","20732",409
96,"Census","2011-03","20733",386
96,"Census","2011-03","20734",323
97,"Census","2011-03","20718",5998
97,"Census","2011-03","20719",4850
97,"Census","2011-03","20720",3877
97,"Census","2011-03","20721",3849
97,"Census","2011-03","20722",6019
97,"Census","2011-03","20723",4785
97,"Census","2011-03","20724",2448
97,"Census","2011-03","20725",5549
97,"Census","2011-03","20726",3174
97,"Census","2011-03","20727",5473
97,"Census","2011-03","20728",2652
97,"Census","2011-03","20729",1950
97,"Census","2011-03","20730",1962
97,"Census","2011-03","20731",3556
97,"Census","2011-03","20732",4096
97,"Census","2011-03","20733",5030
97,"Census","2011-03","20734",3416
111,"Census","2011-03","20718",508
111,"Census","2011-03","20719",134
111,"Census","2011-03","20720",171
111,"Census","2011-03","20721",134
111,"Census","2011-03","20722",363
111,"Census","2011-03","20723",136
111,"Census","2011-03","20724",281
111,"Census","2011-03","20725",95
111,"Census","2011-03","20726",224
111,"Census","2011-03","20727",323
111,"Census","2011-03","20728",500
111,"Census","2011-03","20729",474
111,"Census","2011-03","20730",184
111,"Census","2011-03","20731",166
111,"Census","2011-03","20732",262
111,"Census","2011-03","20733",90
111,"Census","2011-03","20734",297
112,"Census","2011-03","20718",1650
112,"Census","2011-03","20719",1874
112,"Census","2011-03","20720",2944
112,"Census","2011-03","20721",4529
112,"Census","2011-03","20722",2940
112,"Census","2011-03","20723",2916
112,"Census","2011-03","20724",5994
112,"Census","2011-03","20725",2406
112,"Census","2011-03","20726",3253
112,"Census","2011-03","20727",2973
112,"Census","2011-03","20728",1925
112,"Census","2011-03","20729",5533
112,"Census","2011-03","20730",4637
112,"Census","2011-03","20731",3643
112,"Census","2011-03","20732",2347
112,"Census","2011-03","20733",4030
112,"Census","2011-03","20734",2986
113,"Census","2011-03","20718",6548
113,"Census","2011-03","20719",5566
113,"Census","2011-03","20720",5133
113,"Census","2011-03","20721",5509
113,"Census","2011-03","20722",5259
113,"Census","2011-03","20723",4642
113,"Census","2011-03","20724",5221
113,"Census","2011-03","20725",5639
113,"Census","2011-03","20726",4035
113,"Census","2011-03","20727",4145
113,"Census","2011-03","20728",2130
113,"Census","2011-03","20729",4341
113,"Census","2011-03","20730",4323
113,"Census","2011-03","20731",4617
